Year,Destination,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,WORLD,3.220766731,4.090391986,5.106896429,6.429667251,8.31497816,9.950129726,10.24779259,9.589531559,8.545523938,7.092227417,5.897976295,5.13204354,4.564370452,3.579840731,2.865496264,5.371611074,100
1990,More developed regions,1.526837336,2.845024599,4.248124667,5.764180331,7.904446138,9.727560287,10.32519814,10.04003329,9.303577909,7.850457632,6.564356743,5.74295213,5.08985405,3.930382866,3.240536757,5.89554212,100
1990,Less developed regions,5.208234524,5.551567155,6.114483419,7.210475367,8.79665064,10.21126788,10.15697355,9.060963084,7.65610797,6.202604663,5.116119814,4.415271549,3.947826616,3.168553692,2.425465586,4.756888828,100
1990,Least developed countries,9.716319345,10.03733691,9.954045912,11.03745196,11.40228692,10.57725183,8.660457215,6.830475599,5.31780892,4.067586086,3.448100852,2.942213949,2.548435298,1.414583248,0.84853321,1.197112747,100
1990,"Less developed regions, excluding least developed countries",4.363815462,4.711327977,5.395286711,6.493636152,8.308583306,10.14271463,10.43728925,9.478760491,8.094099793,6.602519584,5.428560032,4.691193136,4.209949613,3.497093668,2.720844181,5.423678141,100
1990,High-income countries,2.293488444,3.283597166,4.076455817,5.371249569,7.944257906,10.4933159,11.28958502,10.30132906,9.166844433,7.3238045,6.225117795,5.27760134,4.711465502,3.752401846,3.014089367,5.47539634,100
1990,Middle-income countries,3.447904723,4.273695896,5.647675469,7.10336348,8.413774036,9.276327433,9.225602485,9.076694518,8.209308713,7.170993823,5.827295294,5.257204066,4.680088396,3.651530326,2.956713616,5.781827725,100
1990,Upper-middle-income countries,3.46935377,4.6734122,6.533455971,7.832380571,8.990707383,9.607865743,9.28482334,9.07722933,8.119286615,7.045434602,5.446920017,5.267420424,4.695341229,3.414634453,2.457158632,4.084575719,100
1990,Lower-middle-income countries,3.427465349,3.892795477,4.803591402,6.408663483,7.86399873,8.96039566,9.169169339,9.076184882,8.295093191,7.290642583,6.189765127,5.247468624,4.665553561,3.877274776,3.432752997,7.399184818,100
1990,Low-income countries,9.537807357,9.603544609,9.686132158,10.26357709,10.80162653,10.5593127,9.228900861,7.381273953,5.763387608,4.437803537,3.616685497,2.920444801,2.426911542,1.561886643,0.895807744,1.314897374,100
1990,Sub-Saharan Africa,9.002929072,9.063574453,8.660227188,9.832509423,11.20780291,11.33464835,9.70074918,7.822076566,6.070228972,4.608912849,3.713323039,2.976974156,2.546833735,1.447681293,0.852663581,1.156258077,100
1990,AFRICA,8.913795201,8.932009902,8.566600574,9.758656492,11.20518924,11.35986124,9.754411919,7.88750708,6.127576961,4.65789663,3.739105834,2.993188989,2.560605783,1.475511839,0.884744984,1.180896386,100
1990,Eastern Africa,9.231608622,8.675558527,8.927435153,10.08948478,10.88703261,10.93852463,9.673993982,7.715821732,5.93623675,4.556180208,3.756989191,3.055835894,2.587897347,1.682184415,0.903365526,1.381850631,100
1990,Burundi,6.742217286,7.043619225,6.244784005,6.068265738,8.156464831,11.54273363,13.33943742,10.9516376,8.220107472,5.897751494,4.731169884,3.488637387,2.979496262,2.295337876,0.91801507,1.380324818,100
1990,Comoros,4.261666312,5.994743945,7.479224377,8.232118758,8.786135379,11.32182683,12.13154343,11.30762128,9.006321472,6.996235528,5.341288444,3.522977484,2.42204702,1.598124867,0.639249947,0.95887492,100
1990,Djibouti,4.43049885,5.980968901,9.557277391,14.20459659,16.52334705,15.55788285,11.14538418,6.781976911,3.77840142,3.03875766,2.65420836,2.32120503,1.82620008,0.97446429,0.48682305,0.73800738,100
1990,Eritrea,6.060094531,5.275151924,6.912559082,9.697839298,12.77008778,14.1458474,12.64348413,10.03544902,6.819716408,4.464888589,3.173531398,2.852802161,2.278865631,1.401080351,0.557056043,0.911546253,100
1990,Ethiopia,6.685967509,7.17523953,8.851210414,11.61780871,12.70852266,12.24616796,10.06681727,7.735310155,5.751564407,4.343728092,3.426548611,2.814893672,2.51032119,2.032906638,0.813145345,1.219847844,100
1990,Kenya,5.9254874,7.225219649,9.411622243,14.36668326,11.35886603,11.24012755,9.032533671,7.167700443,5.397050711,4.609273038,3.761621571,3.015553732,2.522099485,1.95363481,1.385170136,1.627356269,100
1990,Madagascar,5.188777857,5.381109671,4.427812853,5.531630221,7.697453694,7.797800728,7.095371493,6.539281682,6.99502446,8.153196471,8.303717021,7.44658611,5.682150771,4.122590626,4.47798637,5.159509972,100
1990,Malawi,14.8594869,12.54287397,11.22854528,11.90415385,10.39110633,9.087507227,7.231911354,5.646328357,4.351419319,2.970673675,2.647101596,2.313686682,1.929550138,0.735818339,0.530714962,1.629122019,100
1990,Mauritius,8.635482978,10.48989759,8.220315527,5.369499031,9.078328259,8.912261279,9.52117354,8.386382508,7.002491005,5.120398561,3.542762247,3.238306117,3.404373097,3.155272627,2.103515084,3.819540548,100
1990,Mayotte,6.159301333,5.929476656,7.656444941,10.29614551,13.05404163,13.82887911,12.25293847,9.803664062,6.572985751,2.961455119,3.427670891,3.230678311,2.856392409,0.965263642,0.348020225,0.656641933,100
1990,Mozambique,14.63231207,10.51728084,7.662753817,12.87071249,22.05064905,7.945590688,5.100873034,4.697053919,3.48314423,3.175783932,2.41637511,1.885034169,1.293202106,0.98829415,0.546054998,0.734885394,100
1990,Réunion,3.915399406,9.194196819,11.86331061,9.091067995,6.51459535,9.451144905,10.38804405,10.47194546,7.79933578,6.435937773,5.616151023,3.700402028,2.031113442,1.300471945,0.839014158,1.387869254,100
1990,Rwanda,5.392540142,5.856670149,6.375845223,7.907098937,11.23982761,12.93934409,12.15370084,9.853692711,7.180879345,5.209890598,3.959491834,3.006211336,2.424485047,2.218066042,1.982247966,2.300008132,100
1990,Seychelles,5.159903252,5.079279764,4.649287826,3.52055899,6.960494491,12.22789573,15.50658425,13.84036549,9.916689062,6.530502553,4.810534802,4.246170384,2.741198603,1.908089223,1.424348293,1.478097286,100
1990,Somalia,18.37635429,13.10031069,10.48016492,7.836393515,7.893053227,9.356797284,8.823025169,7.822803548,5.733293748,3.696262132,2.704194491,1.569954881,1.407920651,0.462267977,0.354384542,0.382818936,100
1990,South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100
