Year,Destination,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,WORLD,3.263870963,4.115668607,5.084220331,6.343627774,8.108526079,9.477702282,9.677936611,9.115858655,8.218750317,6.905119736,5.867005134,5.298618414,4.904130896,3.9335202,3.287549137,6.39715571,100
1990,More developed regions,1.448873382,2.704666093,4.023834144,5.436522565,7.473368902,9.243330074,9.90435936,9.717088234,9.08271255,7.741959404,6.579435299,5.944513337,5.499831402,4.318244581,3.701696551,7.178628324,100
1990,Less developed regions,5.580740492,5.916832841,6.437817973,7.501560127,8.919313005,9.77688165,9.388904838,8.348380778,7.115890571,5.836882319,4.957578168,4.474124606,4.143710958,3.442414204,2.758884233,5.399595105,100
1990,Least developed countries,9.854841019,10.13682068,9.914133605,11.13208778,11.73199244,10.75071918,8.643575609,6.667742187,5.159977595,3.91994504,3.304505765,2.822352453,2.494675268,1.387747407,0.852283336,1.226600637,100
1990,"Less developed regions, excluding least developed countries",4.722267804,5.069228935,5.739584039,6.772352,8.354373444,9.581281917,9.538607631,8.685944745,7.508744661,6.221907961,5.28960534,4.805890617,4.474927337,3.855103451,3.141833765,6.237760179,100
1990,High-income countries,2.364869351,3.346537095,4.091060029,5.278940413,7.673441548,9.817387989,10.46832431,9.680062871,8.793493375,7.140357486,6.227228847,5.469189034,5.116150779,4.161390594,3.483661943,6.887904339,100
1990,Middle-income countries,3.407377711,4.216261926,5.5405898,6.946874385,8.189903002,8.953209608,8.892855364,8.752870333,7.94569842,6.994053259,5.796783415,5.445548301,5.006065375,3.998808402,3.386496983,6.526603716,100
1990,Upper-middle-income countries,3.465866993,4.638782383,6.425199475,7.597276574,8.563279789,9.032546783,8.752551397,8.642133848,7.806169059,6.86179133,5.443274799,5.574971585,5.127421197,3.871557485,3.007977679,5.189199624,100
1990,Lower-middle-income countries,3.353165675,3.824639849,4.720670498,6.344035276,7.843830781,8.87967426,9.02289908,8.855508801,8.075024177,7.116643042,6.1244404,5.325589576,4.89358415,4.116753622,3.737335656,7.766205158,100
1990,Low-income countries,9.756661398,9.751672552,9.743100168,10.50957905,11.17445411,10.74852841,9.1549784,7.1389457,5.490939974,4.200936685,3.398177408,2.750306592,2.378251065,1.556613805,0.90476128,1.342093404,100
1990,Sub-Saharan Africa,9.655244706,9.721724063,9.288290749,10.54612857,11.69901338,11.18838798,9.168866927,7.137193264,5.42200569,4.080928286,3.328431495,2.771629081,2.471212077,1.436152819,0.868292111,1.214180593,100
1990,AFRICA,9.614806737,9.627058697,9.257610822,10.54138147,11.74346338,11.21348514,9.16817691,7.125149051,5.409658728,4.085947771,3.33455718,2.778307392,2.485110428,1.467900876,0.90420276,1.241010225,100
1990,Eastern Africa,9.68179389,9.075054911,9.361797153,10.45442509,11.14602872,10.99230445,9.444656846,7.319860539,5.535387,4.219449247,3.486709609,2.865624877,2.469370951,1.656675339,0.890335525,1.40052585,100
1990,Burundi,6.752118133,7.166618583,6.434766225,6.404738494,8.804601897,12.20185701,13.22162232,10.40019312,7.840770594,5.715278228,4.507692398,3.248882792,2.825550656,2.233827711,0.893177817,1.348304022,100
1990,Comoros,4.794892692,6.682966585,8.245042108,8.734039663,8.964955175,11.35560989,12.04835642,11.07036131,8.666123336,6.533550666,4.767726161,3.042651453,2.118989405,1.48057593,0.584080413,0.910078783,100
1990,Djibouti,3.252901913,4.982838614,9.044654099,15.23827593,19.17245899,17.40112799,11.82324635,6.157401818,3.090774246,2.419841667,2.074889184,1.842046258,1.45742424,0.90032598,0.45016299,0.691629728,100
1990,Eritrea,5.925266904,5.160142349,6.797153025,9.555160142,12.66903915,14.09252669,12.65124555,10.07117438,6.832740214,4.483985765,3.220640569,2.900355872,2.330960854,1.565836299,0.622775801,1.120996441,100
1990,Ethiopia,6.56387633,7.063779634,8.725137109,11.46530051,12.59245474,12.19910017,10.06776062,7.761090008,5.774430493,4.39914907,3.507168321,2.881559406,2.602233874,2.19829741,0.879209496,1.319452807,100
1990,Kenya,5.998240985,7.403987101,9.696569921,14.69950161,11.64248021,11.65860451,9.039871006,6.88507769,5.03298153,4.297126942,3.548812665,2.84154207,2.479478159,1.898270302,1.316329522,1.56112577,100
1990,Madagascar,7.332765635,7.446305232,5.535055351,6.244677831,8.439776705,9.225092251,8.666855899,7.540921563,7.058378276,7.096224808,6.254139464,4.967357366,3.462957707,2.687103794,3.434572807,4.607815309,100
1990,Malawi,15.62635495,13.11123117,11.53914976,11.93797703,10.14222201,8.710710869,6.887254733,5.376941659,4.143811811,2.828783009,2.547986593,2.273384216,1.916538771,0.743972856,0.537849017,1.67583155,100
1990,Mauritius,8.648648649,10.59459459,7.945945946,5.405405405,9.351351351,9.72972973,10,8.594594595,6.864864865,4.702702703,3.135135135,2.864864865,3.027027027,2.756756757,2,4.378378378,100
1990,Mayotte,7.489533261,7.17940766,9.133198946,11.30407815,13.22685688,13.24236316,11.31958443,8.792060785,5.659792216,2.496511087,2.899674368,2.837649248,2.558536207,0.852845402,0.294619321,0.713288882,100
1990,Mozambique,15.9386551,11.1511942,8.235001422,12.29208132,21.16327836,7.506397498,5.190858686,4.734148422,3.404890532,2.992607336,2.198251351,1.734432755,1.203085016,0.950739266,0.542010236,0.762368496,100
1990,Réunion,4.134259609,9.782526618,12.47451484,9.450275617,6.675224647,9.718341765,10.60937854,10.40172166,7.509627728,5.931435475,5.006418485,3.19791588,1.751868912,1.159102922,0.796647285,1.400740014,100
1990,Rwanda,5.579762311,6.19987623,6.867982672,8.216825168,10.97134341,11.79353111,10.74906225,8.619709772,6.76568282,5.329696005,4.331956706,3.469354248,2.508240821,2.659796158,2.585281451,3.351898862,100
1990,Seychelles,6.328279499,6.130520765,5.339485827,3.757415953,7.053394858,12.06328279,15.02966381,12.92023731,8.833223467,5.669083718,4.218852999,3.889255109,2.570863546,2.043506922,1.911667765,2.241265656,100
1990,Somalia,19.10309151,13.73727536,11.9922424,9.277936547,8.976774188,9.682476623,8.040821383,6.340642394,4.384582196,2.787353744,2.090622103,1.270435254,1.202940712,0.40069545,0.336191172,0.375918972,100
1990,South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100
1990,Uganda,8.474664738,7.89268631,8.142105636,8.811324905,10.28621707,11.1358832,10.09197571,8.224872587,6.312657751,5.163986683,4.17115609,3.694686884,2.885285751,2.093780175,1.048381384,1.570335132,100
1990,United Republic of Tanzania,7.275104513,7.817709498,8.722280524,9.550467081,10.64049409,10.85794897,9.905895711,7.828031724,6.0598345,4.885509316,4.23761763,3.64443374,3.138300618,2.353467408,1.499819361,1.583085313,100
1990,Zambia,7.338021759,8.181497849,9.405969667,10.23256155,10.69504192,10.47481317,9.589493621,8.061106136,6.526111788,5.295767204,4.380349723,3.580919382,2.51134178,1.753020804,0.786216617,1.187767027,100
1990,Zimbabwe,5.993966367,6.970337672,8.256396633,9.000957084,11.88385439,12.90498666,11.17896016,7.770940308,6.210492989,4.896412936,4.101996776,3.383273955,3.591430641,1.92799671,0.771125902,1.156870808,100
1990,Middle Africa,9.520890011,10.39109765,9.902435073,9.926456212,10.51539308,10.19753197,9.057226173,7.627549453,6.262813602,4.933690485,3.524822774,2.795390176,2.18354943,1.439871738,0.739208643,0.982073527,100
1990,Angola,4.533333333,7.941463415,12.40325203,15.07642276,14.18536585,11.12845528,8.188617886,5.508943089,4.390243902,4.117073171,3.746341463,2.738211382,2.36097561,1.508943089,1.131707317,1.040650407,100
1990,Cameroon,6.45400903,9.075506815,10.61952811,10.04198069,10.59115151,11.38486191,11.38653113,9.769899096,8.055618151,6.013337006,2.315197343,1.377934684,1.155929459,0.875501807,0.349699959,0.533313303,100
1990,Central African Republic,13.16089768,11.44288069,9.965766451,9.788259161,10.43489286,10.15278306,8.685178141,6.843540003,5.37276531,4.117535184,2.951058704,2.199822493,1.794091543,1.483453785,0.738557119,0.868517814,100
1990,Chad,6.527521997,10.12599024,12.47040253,12.40316876,11.63728843,11.1052647,9.073635593,6.740916133,5.013300593,3.902481803,2.952439417,2.136864568,2.283024935,1.812388553,0.724955421,1.090356339,100
1990,Congo,7.396554105,6.383958023,7.701867166,9.11950168,10.82250418,11.68167661,11.10787217,9.711716964,7.592936375,5.47262155,3.858604765,2.988692677,2.606667792,1.776645852,0.710351494,1.067828595,100
1990,Democratic Republic of the Congo,10.69533621,11.49978137,9.798581865,9.754345052,10.33607192,9.414769981,7.893074765,6.765163894,5.735443404,4.747914094,3.965970896,3.381942686,2.488512492,1.532946197,0.873229569,1.116915595,100
1990,Equatorial Guinea,12.31372549,9.098039216,6.509803922,6.980392157,9.333333333,10.82352941,10.58823529,9.254901961,6.666666667,4.62745098,3.215686275,2.980392157,2.352941176,1.647058824,1.098039216,2.509803922,100
1990,Gabon,11.78291186,10.4993901,9.483496277,8.886340051,9.712891656,10.83984197,10.49210771,8.261874852,6.093542338,4.331203233,3.051322665,2.159229523,1.79875107,1.294445355,0.517049903,0.795601435,100
1990,Sao Tome and Principe,3.081019399,8.292126284,8.824648155,12.74248764,8.368200837,5.287181438,3.84176493,5.895777862,11.25903385,10.72651198,7.835678965,4.60251046,3.461392164,2.130087486,1.635602891,2.015975656,100
1990,Northern Africa,11.13762487,12.24989489,9.623156913,10.19472827,10.06347666,8.858588538,7.053814868,5.977278717,4.965558178,3.869918477,3.909234263,3.999293851,4.064280031,1.510971322,1.185272869,1.336907289,100
1990,Algeria,6.14532816,5.996605238,5.873747171,6.769317814,8.790817976,10.57549305,10.59085031,9.088263822,7.552537989,6.439540899,5.531846104,4.717103136,3.875687035,3.034270934,2.275299062,2.743291303,100
1990,Egypt,12.62900465,11.5920763,10.85717779,10.40719002,11.3010516,7.84421619,5.989239423,5.798483737,4.960870629,4.373930056,3.768647591,2.754952311,2.89557349,2.406456346,0.96233798,1.458791881,100
1990,Libya,9.917991491,8.732646664,10.3257016,13.50761308,15.90909091,14.12570906,9.46783102,5.728933423,3.404426034,2.187826541,1.54454023,1.453108673,1.654631288,0.790696373,0.688535602,0.560718018,100
1990,Morocco,6.872560009,6.103358973,6.18066561,6.493757489,6.965327973,7.460090449,7.71520235,7.595377063,7.239766534,6.772061381,6.091762978,5.113834023,4.402612964,4.557226238,5.0867767,5.349619265,100
1990,Sudan,12.53964906,14.91059587,10.16587144,10.0127245,8.51833871,7.058488827,5.665870737,5.338487299,4.793980561,3.678074368,4.22810119,4.739062803,4.96934938,1.227298655,1.017677007,1.136429581,100
1990,Tunisia,5.082791868,5.407671348,5.612031021,6.361349822,8.776985957,11.08258227,11.5594215,10.45378327,8.776985957,6.990148816,5.758750786,4.433032907,3.505554391,2.263676378,1.58771746,2.347516244,100
1990,Western Sahara,4.987735078,5.069501226,5.151267375,5.069501226,9.64840556,14.55437449,14.79967294,11.69255928,8.748977923,5.805396566,4.415372036,3.188879804,2.371218316,1.471790679,0.899427637,2.125919869,100
1990,Southern Africa,4.167301346,5.249338121,5.898523918,7.666557865,10.87295543,10.79915134,9.62481413,9.131033983,7.739455264,6.543901643,5.273818591,4.560076887,4.481014035,3.294164581,1.9687738,2.729119066,100
1990,Botswana,12.32562408,11.18759178,9.251101322,6.598751836,7.232011747,10.60939794,12.52753304,9.847650514,6.782305433,4.836637298,3.258076358,1.973201175,1.468428781,0.81681351,0.559838473,0.725036711,100
1990,Lesotho,9.765425803,8.465068842,7.572667007,7.725650178,9.994900561,11.4227435,11.21876594,8.873023967,6.960734319,5.507394187,4.181540031,3.034166242,1.580826109,0.943396226,0.86690464,1.886792453,100
1990,Namibia,6.35754838,7.955284481,8.152145255,9.950257501,10.02759566,8.289244723,7.137960733,6.424340429,5.650958817,4.886365634,4.15692616,3.807146749,3.794842951,4.014553636,4.540101594,4.854727295,100
1990,South Africa,3.571652457,4.718620146,5.379531451,7.195694226,11.06780162,11.13743015,9.830160123,9.496570067,8.084969193,6.860313082,5.531997779,4.798323542,4.780412667,3.370826766,1.665935306,2.509761427,100
1990,Swaziland,5.091711238,5.424107817,7.726709576,10.44027438,10.99930499,10.53697156,9.983984528,8.64533285,7.074003566,5.807874777,4.502462756,3.671471308,2.955307769,2.115250959,2.230078869,2.795153054,100
1990,Western Africa,10.1402488,9.81399928,9.575519545,11.83275237,14.17712943,13.310066,9.893348167,6.796383731,4.57302696,3.077668557,2.218352353,1.489151001,1.190281421,0.705863445,0.53927409,0.659187629,100
1990,Benin,13.22812846,11.41749723,8.873200443,10.78349945,13.81506091,13.90919158,9.141749723,6.65282392,4.224806202,2.452934662,1.794019934,0.813953488,1.004983389,0.567552602,0.506644518,0.813953488,100
1990,Burkina Faso,8.009525852,21.10042294,18.96645602,14.93391852,10.17869223,7.924277174,5.686361861,4.082036728,2.742807486,1.767672601,1.438227707,0.921785712,0.864586599,0.468042745,0.413593589,0.501592225,100
1990,Cabo Verde,4.375832963,8.751665926,12.90537539,17.54775655,14.57130164,13.19413594,12.39449134,6.81919147,2.621057308,1.243891604,1.021768103,0.888494003,1.177254554,0.755219902,0.755219902,0.977343403,100
1990,Côte d'Ivoire,4.14526574,5.092975194,5.907587765,12.38633638,19.33943682,18.33456157,13.1524823,8.684229821,5.31654316,3.260190114,1.90411805,1.118709743,0.76974985,0.40227321,0.151365082,0.034175203,100
1990,Gambia,11.42096223,10.29391898,8.98546809,13.56311635,14.89472567,13.86610572,9.369511936,5.044676458,3.543238705,2.724974429,2.134434645,1.242835363,0.993882317,0.783526642,0.445799641,0.692822819,100
1990,Ghana,14.66371714,15.70134806,13.59919825,11.79159385,8.379266936,7.297637526,6.019237115,4.941274245,4.344850344,3.321885579,2.63990907,1.887046113,1.839381088,1.305288373,1.187959081,1.08040723,100
1990,Guinea,11.0693266,11.59462545,13.40228601,11.5585513,10.00884558,8.665207229,7.183202297,5.799536472,4.798849581,3.918739283,3.368732117,3.123131433,2.278601114,1.239863412,0.925079437,1.065422685,100
1990,Guinea-Bissau,13.69970048,12.50162782,12.12397448,12.50162782,11.51191561,10.2487303,7.513999219,5.326214351,3.333767418,2.786821201,2.252897513,1.588748535,1.810131528,1.263185311,0.625081391,0.911577028,100
1990,Liberia,14.90984405,14.15448343,13.80847953,12.78021442,11.1622807,8.966861598,6.856725146,4.973196881,3.467348928,2.42202729,1.725146199,1.240253411,0.899122807,0.789473684,0.874756335,0.969785575,100
1990,Mali,17.1629367,6.539835043,12.59038977,13.03773177,8.546519755,7.242619492,7.459936203,5.429105189,5.321082263,3.468171362,3.369044442,2.433692986,2.248147725,1.481820377,1.256878519,2.412088401,100
1990,Mauritania,12.66988406,9.983173388,9.851888833,10.43434848,13.57963055,13.24864555,9.369279414,6.286865997,4.154878793,2.821693386,2.425990644,1.442281023,1.244429652,0.661970008,0.715593277,1.109446941,100
1990,Niger,5.715281697,8.424355101,8.117260383,10.55077853,12.9477773,13.13037416,11.03881013,8.54885296,6.18837356,4.53836194,3.147305866,2.071644368,1.761229707,1.357856645,1.052421898,1.40931576,100
1990,Nigeria,28.04020853,13.15856427,7.21408795,7.487466015,10.23770921,11.82110698,8.024244843,4.909331271,3.07350777,1.88970093,1.52353396,0.716869123,0.713875932,0.325758899,0.361178319,0.502856003,100
1990,Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1990,Senegal,5.679866231,6.202021737,7.538192597,10.81857566,13.28266322,12.89427681,11.27688683,8.210838337,5.896480961,4.547389222,3.806338831,2.827392263,2.323477997,1.485901041,1.352131945,1.857566315,100
1990,Sierra Leone,16.8909859,15.27084657,13.22122413,12.23321134,10.68969341,8.586637631,6.56524413,4.760608535,3.320932765,2.320821865,1.654417325,1.191664398,0.862998921,0.605913962,0.77327123,1.051527891,100
1990,Togo,14.58000525,15.18561789,14.46555876,10.70551489,9.747025584,9.382227415,6.766648387,5.238310961,3.497770678,2.954149877,2.250780859,1.225531103,1.354283398,0.92272478,0.615149853,1.108700317,100
1990,ASIA,4.417800267,4.755062801,5.58058328,6.679467303,8.345650225,9.697294719,9.721769238,8.863419592,7.608963184,6.313122022,5.372980774,4.887241278,4.452201233,3.786687219,3.158409661,6.359347203,100
1990,Central Asia,2.478880909,3.065319586,3.955351605,4.792406503,5.10581346,5.907249583,7.327107474,8.842777958,9.222392647,8.020156455,7.315817716,7.242666646,7.11467961,6.78506242,5.817232216,7.007085211,100
1990,Kazakhstan,2.671686543,3.341617871,4.355628877,5.175839053,5.349773378,6.079611436,7.589005016,9.251749584,9.539199482,7.936873667,7.483067388,7.57000895,6.775502346,6.329939643,4.219891492,6.330605273,100
1990,Kyrgyzstan,3.039703089,3.826099425,4.355510703,5.258818696,5.909829127,7.175177229,8.64401779,9.414972964,9.157436436,8.243099041,7.388871885,7.158081656,6.623155677,5.476097908,4.235290225,4.093838149,100
1990,Tajikistan,2.004385892,2.518980612,3.284019737,4.128387022,4.539979732,5.30751084,6.586729354,8.106839666,8.806256541,8.105593674,7.090110146,6.83260512,7.779143754,8.153772033,8.501403818,8.254282059,100
1990,Turkmenistan,2.061789863,2.450587839,3.269384771,4.11545559,4.54487425,5.330014043,6.609565591,8.113691492,8.798440166,8.099184105,7.065097548,6.799322215,7.755068881,8.164177199,8.534405719,8.288940729,100
1990,Uzbekistan,2.055129107,2.443344072,3.259155008,4.102188336,4.529999505,5.31267014,6.587710974,8.085910853,8.768407393,8.071385071,7.040807763,6.77622334,7.728361427,7.641959926,8.592053644,9.004693441,100
1990,Eastern Asia,2.422523329,3.014550088,3.612105501,5.203129423,7.593402267,9.573172511,10.34600675,9.262390457,8.627977347,6.705438916,6.329899936,6.710148511,6.251116609,4.841872801,3.777913946,5.728351606,100
1990,China,5.336565315,4.806758963,5.616923436,7.829963071,11.48058371,13.17086662,11.82276161,9.345632216,6.763300742,4.778018188,3.914710396,3.850179223,3.922844577,2.942404572,1.765117376,2.653369991,100
1990,"China, Hong Kong SAR",0.913770455,1.439947199,1.967952216,3.253867481,3.991575322,6.409282504,9.31239596,9.090260885,9.537730511,7.682217036,7.852246352,9.080571043,8.743711886,6.818906894,5.509498331,8.396065924,100
1990,"China, Macao SAR",1.072072735,2.048441123,3.979092281,7.071078882,12.72039607,14.26822984,14.58479037,10.88084809,7.302977878,4.167740273,3.403945964,3.854860677,4.244119704,3.650568705,2.821437774,3.929399639,100
1990,Dem. People's Republic of Korea,5.685218432,4.625972472,4.248952723,5.840813884,10,12.40574506,12.04667864,10.20945542,7.701974865,5.403949731,4.374625972,4.314781568,4.07540395,3.776181927,2.519449431,2.770795931,100
1990,Japan,4.515010234,5.550943825,5.996323251,7.837540747,12.56311121,13.81548025,11.00826321,9.225229323,7.725153514,5.930748237,4.745280873,3.581987719,2.536957016,1.816769009,1.231711015,1.919490562,100
1990,Mongolia,5.274325553,5.213701122,4.546832373,5.062140042,12.03394968,10.63958775,9.366474689,8.820854804,9.457411337,9.275538042,7.093058503,4.940891179,2.39466505,2.212791755,1.788420734,1.879357381,100
1990,Republic of Korea,7.306178879,9.635222801,9.847920876,7.582686377,7.013719026,9.475699245,11.57609274,9.385302563,7.657130703,5.89173668,4.429437414,3.573327661,2.504519834,1.632457726,1.223013932,1.265553547,100
1990,Southern Asia,1.995462699,2.370836782,4.528900536,7.147680075,9.203678137,10.35300561,9.933896919,8.987713844,7.643982319,6.728834584,5.650175569,4.816783473,4.223383385,3.680626831,3.195247272,9.539791967,100
1990,Afghanistan,6.156478828,6.52658389,8.038841133,10.18385864,12.60347023,13.42725247,11.62846227,8.818847501,6.315663801,4.624323464,3.537886024,2.905125756,2.188793378,1.50031837,0.596943649,0.947150589,100
1990,Bangladesh,5.341043598,4.69397317,10.35214046,18.14608404,22.6782896,17.34908266,9.211136319,4.277224305,2.826247781,1.671187611,1.118317222,0.815002959,0.764943776,0.376800158,0.150424147,0.22810219,100
1990,Bhutan,5.843565257,5.229649841,5.616189177,4.092769441,2.137335152,26.21646203,9.936334698,8.299226921,8.299226921,6.593906321,5.638926785,3.956343793,3.115052296,2.023647112,1.546157344,1.455206912,100
1990,India,0.501312169,0.783501099,2.21112728,4.133471256,6.012867972,7.950859616,8.809832771,8.865996723,7.934401622,7.082833167,6.012197357,5.092840968,4.654734202,4.521617254,4.881010661,20.55139588,100
1990,Iran (Islamic Republic of),6.337508127,7.032858993,10.64030157,13.39325664,14.32109961,13.37897794,10.01056733,6.594688215,4.295490601,3.664121389,3.017492497,2.780095493,2.018637518,1.257179543,0.502806418,0.754918113,100
1990,Maldives,7.234151329,6.31390593,5.930470348,5.751533742,9.100204499,12.52556237,12.55112474,10.73619632,8.895705521,6.31390593,4.524539877,3.093047035,2.198364008,1.738241309,1.04805726,2.044989775,100
1990,Nepal,1.61410226,2.774269098,3.899897371,9.213244388,13.92825189,14.2002842,12.50953922,10.21815215,8.138272677,6.598181627,4.608760296,3.560103681,3.616023263,2.276913765,1.278255835,1.56574827,100
1990,Pakistan,0.631083923,0.986370109,2.78376017,5.203979586,7.57015365,10.0101093,11.09155982,11.16228416,9.989421922,8.917279022,7.569304415,6.411830327,5.601591671,4.769204952,3.452312367,3.849754605,100
1990,Sri Lanka,2.756643511,2.640864483,1.75873856,1.841437865,2.789723233,4.383063182,6.152828316,6.869555629,9.256808909,10.03418238,11.02106076,11.26915867,9.493880251,7.464990627,5.899217113,6.36784651,100
1990,South-Eastern Asia,5.819428903,6.581267686,8.417355541,10.59602552,11.67898927,11.2579018,9.777431469,7.991434715,6.292804457,4.826687719,4.031821031,3.49890737,2.706969986,1.989583394,1.827666106,2.705725032,100
1990,Brunei Darussalam,5.379019908,4.543134252,3.710438999,3.582822869,12.82542113,16.95380296,16.72728433,12.86689638,8.110005105,4.600561511,3.35949464,2.565084227,1.563297601,1.212353241,0.829504849,1.170877999,100
1990,Cambodia,3.442019595,11.68420507,17.43299984,15.2091649,12.49805609,10.54377689,7.640868799,5.733243481,4.432118605,3.229485252,2.348245296,2.140894718,1.990565549,0.813851019,0.32657716,0.533927738,100
