Year,Destination,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,WORLD,3.178981575,4.065888881,5.128878593,6.513073745,8.51511239,10.40809993,10.80020983,10.04870911,8.862297624,7.273609224,5.927999677,4.970566195,4.235007365,3.236984569,2.456359064,4.377450178,100
1990,More developed regions,1.608391619,2.991846774,4.482744022,6.106927107,8.355374967,10.23408985,10.76541703,10.37785033,9.534614367,7.963952327,6.548583802,5.532108801,4.660996778,3.524659681,2.758140034,4.553368348,100
1990,Less developed regions,4.878016922,5.22776789,5.827855095,6.952435712,8.687913398,10.59634084,10.83784804,9.692650198,8.13499773,6.526808745,5.256663178,4.363099726,3.774179847,2.92578292,2.129897958,4.187145137,100
1990,Least developed countries,9.578790019,9.938565821,9.993672294,10.94349409,11.07494336,10.40502718,8.677217883,6.992043216,5.474509567,4.214169454,3.590667245,3.061216777,2.601810199,1.441226841,0.844809949,1.167836104,100
1990,"Less developed regions, excluding least developed countries",4.052749295,4.400740304,5.096504314,6.251765587,8.268846467,10.62992787,11.21716822,10.1667687,8.602072976,6.93281565,5.549145389,4.591658269,3.980001038,3.186411555,2.355507981,4.717214967,100
1990,High-income countries,2.226409282,3.224450289,4.062731723,5.457995746,8.198753613,11.12850926,12.06135275,10.88515486,9.517695626,7.496196145,6.223133964,5.097559609,4.331168436,3.368060656,2.572815411,4.148012624,100
1990,Middle-income countries,3.488397079,4.33108075,5.754669564,7.259718752,8.637453625,9.599168942,9.558065056,9.400241783,8.472693578,7.347783076,5.85778108,5.069020895,4.354390178,3.304549227,2.52729778,5.037688634,100
1990,Upper-middle-income countries,3.472740118,4.707044576,6.638594359,8.060712879,9.405823799,10.16661382,9.801764278,9.499792776,8.423385461,7.223788405,5.450460243,4.968727646,4.275706441,2.970872154,1.922204802,3.011768246,100
1990,Lower-middle-income countries,3.50373579,3.962758903,4.888711748,6.475005926,7.884701624,9.04325816,9.319319353,9.302714299,8.52099944,7.469257386,6.256822565,5.167275548,4.431474559,3.631443858,3.120091416,7.022429423,100
1990,Low-income countries,9.318692915,9.455240418,9.629096366,10.01728242,10.42835536,10.36987185,9.302911278,7.623890537,6.036159411,4.674952221,3.835453575,3.090785447,2.475629917,1.567165754,0.886843555,1.287668984,100
1990,Sub-Saharan Africa,8.41801473,8.473428939,8.097059045,9.19262583,10.76734735,11.46579619,10.17767406,8.436193483,6.651473809,5.082342776,4.058445205,3.161101705,2.614641694,1.458018573,0.838649887,1.104320475,100
1990,AFRICA,8.286317975,8.30986994,7.948075527,9.058037356,10.72337867,11.49088285,10.27915238,8.569895709,6.770187416,5.169849523,4.101218373,3.185530059,2.62818187,1.482324432,0.86732828,1.127088335,100
1990,Eastern Africa,8.80756606,8.299261296,8.518296985,9.745736912,10.64307667,10.88786786,9.890013282,8.088789065,6.313808756,4.873356866,4.011573368,3.235001167,2.699540797,1.706212154,0.915638862,1.364259901,100
1990,Burundi,6.731917656,6.91566575,6.047149761,5.718240673,7.482222372,10.85706236,13.46199783,11.52529293,8.614723122,6.087574341,4.963648502,3.738048718,3.139642426,2.359325522,0.943852708,1.413635334,100
1990,Comoros,3.677236862,5.240434718,6.639868989,7.682000893,8.59014441,11.28479976,12.22271848,11.56766414,9.379187137,7.50334971,5.969927051,4.049426827,2.754205747,1.726961441,0.699717136,1.012356707,100
1990,Djibouti,5.493290993,6.881790729,10.01992466,13.27169142,14.13249899,13.89433704,10.5336073,7.345661717,4.398991314,3.597335077,3.177049282,2.75365026,2.159023692,1.041374802,0.519909094,0.779863641,100
1990,Eritrea,6.181759794,5.378933847,7.01669878,9.826589595,12.86127168,14.19396275,12.63648041,10.0032113,6.807964033,4.447655748,3.131021195,2.809890816,2.231856134,1.252408478,0.497752087,0.722543353,100
1990,Ethiopia,6.796161269,7.275837993,8.964998255,11.75545544,12.81328011,12.28864913,10.06596584,7.712042471,5.730926552,4.293707722,3.353785049,2.754724314,2.427365121,1.883632699,0.753518947,1.129949085,100
1990,Kenya,5.863775396,7.07358317,9.169920175,14.0843757,11.11829508,10.88516151,9.0263099,7.407430433,5.705866262,4.874045707,3.942133141,3.163156193,2.558252306,2.000596822,1.443563027,1.683535175,100
1990,Madagascar,3.491159724,3.745879533,3.551093797,4.96703626,7.109679353,6.667665568,5.85106383,5.746179203,6.944860653,8.990110878,9.926580761,9.409649386,7.439316752,5.259214864,5.304165418,5.596344022,100
1990,Malawi,14.04395082,11.9384469,10.89822879,11.86818415,10.6557857,9.488216351,7.598441045,5.932811242,4.572202298,3.121569201,2.75250677,2.356546878,1.94338725,0.727146308,0.523128156,1.579448145,100
1990,Mauritius,8.621667612,10.38003403,8.508224617,5.33182076,8.791832104,8.054452638,9.018718094,8.167895632,7.146908678,5.55870675,3.970504821,3.630175837,3.800340329,3.573454339,2.2121384,3.233125355,100
1990,Mayotte,5.182232346,5.011389522,6.571753986,9.555808656,12.92710706,14.25968109,12.93849658,10.54669704,7.243735763,3.302961276,3.815489749,3.519362187,3.075170843,1.047835991,0.387243736,0.615034169,100
1990,Mozambique,13.5195277,9.97729337,7.175295186,13.36360884,22.80653951,8.319709355,5.024220406,4.665455646,3.549803209,3.331819558,2.602179837,2.013321223,1.369966697,1.02028459,0.549500454,0.711474417,100
1990,Réunion,3.726728291,8.687019919,11.33641453,8.781408671,6.376122901,9.220804583,10.19723994,10.53248275,8.049082151,6.87085015,6.141778414,4.133576357,2.271839604,1.422340841,0.875537039,1.376773858,100
1990,Rwanda,5.208823894,5.519890941,5.892923535,7.603172636,11.50328417,14.06370058,13.53203619,11.0645681,7.588300905,5.092328665,3.594001735,2.551741232,2.342297682,1.784607758,1.390506878,1.267815095,100
1990,Seychelles,4.355716878,4.355716878,4.174228675,3.35753176,6.896551724,12.34119782,15.83484574,14.47368421,10.66243194,7.123411978,5.217785844,4.491833031,2.858439201,1.814882033,1.08892922,0.952813067,100
1990,Somalia,17.67969828,12.48971134,9.03067555,6.454519023,6.854189786,9.044598507,9.572851872,9.243614891,7.026179254,4.567548863,3.29236981,1.857076752,1.604416034,0.521291887,0.371824849,0.389433295,100
1990,South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100
1990,Uganda,8.116959226,7.51540933,7.553674108,7.826698474,8.758497539,9.449676645,9.034624454,8.109030488,6.941437653,6.210270129,5.316735842,4.848595579,3.855434977,2.845727444,1.444409206,2.172818908,100
1990,United Republic of Tanzania,7.264899961,7.618829175,8.280461555,8.777656233,9.665478669,10.14079537,9.687356646,7.915240481,6.217227143,5.13179717,4.638131197,4.203747486,3.759130527,2.819788983,1.890680687,1.988778715,100
1990,Zambia,6.978649506,7.800037813,8.989055158,9.848956984,10.37064009,10.1871757,9.291561338,7.854656985,6.610320222,5.731511761,4.962641887,4.116744977,2.901118293,2.03911573,0.928525913,1.38928764,100
1990,Zimbabwe,4.308180031,5.031986092,6.001511243,7.009953754,10.57273853,13.37507244,13.09810583,9.989830354,8.458702149,6.704296249,5.302419126,3.851682253,3.354846774,1.470337587,0.588021407,0.882316179,100
1990,Middle Africa,9.257562855,10.0174078,10.1952467,9.807869506,9.73090448,9.808138145,9.134660588,7.8003315,6.442093556,5.123748479,3.765644854,3.092838895,2.370872029,1.65857616,0.758770386,1.035334066,100
