Year,Destination,Total,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Republic of the Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1990,WORLD,75086026,3063134,70434,393787,992,2023,412546,978,11935,226634,462799,5855,162821,271227,866877,14550,6700,2288816,44765,952219,208186,21024,106843,37000,14503,109230,435204,6810,273887,1754,10718,314810,447016,163175,48876,180194,55528,630594,2160,181,22094,168760,9972,243223,2031519,279068,47166,550599,18018,43101,9111,40459,182859,211748,436429,20604,83634,147122,19821,202299,110317,2405,23094,266696,108178,498929,633375,18032,80993,59599,832800,4532,119,46531,148810,630645,1595,1554,7547,15436,473892,1774164,184766,6323,498720,5736,23646,3238,682,170503,151120,27929,122884,232945,18,89659,195114,9002,2861761,684791,268480,651741,504262,5637,141129,1637371,320679,307450,126493,1545409,123583,2116,36321,269959,245209,115210,215700,45903,256191,36086,1982,188467,14094,33248,49536,285993,494,287040,54242,720,5432,59237,57708,849,2036814,3779,2194,12525,39186,3822,685568,1017090,309192,6706,786,358759,365473,2223,191940,222254,47952,191713,3028,1321,78647,6084,1371354,1589,68149,1506,166307,163715,1194730,816096,911647,625969,6176,809332,335147,1516,436061,7142602,272288,498,11180,11953,245,19143,38259,846,7216,49329,139046,333427,15343,29571,81775,7037,67351,51585,1078,398828,167626,248149,758378,426845,924755,250358,92166,9593,119111,179321,265915,272536,213565,186741,5340,98209,848,16469,109919,180074,1222399,132543,1305,1147,153682,2912625,34846,1918685,96539,868076,1187,120882,743173,2414,102846,600184,2820,75584,165163,42160,86226
1990,More developed regions,42121221,49655,69410,365653,522,2002,86672,260,7965,121628,333028,2620,135773,253478,541071,13630,778,67755,42157,845537,194460,18894,6112,36927,164,21801,431834,1319,168287,74,3282,59682,2676,1840,43293,122015,25271,601086,1406,128,4419,1431,9905,100402,735320,262012,7456,207035,9648,26063,9083,28549,24757,209974,406322,19058,78152,142300,7222,27949,106586,1621,12398,220387,83970,109842,250316,3971,12666,57491,57412,4530,107,44292,146578,473383,32,187,4386,4043,410359,1349139,53149,6287,419919,5410,13033,81,21,119376,6102,6514,108875,148700,5,65942,180316,8956,596219,157827,215635,59338,499839,5637,79370,1367026,312560,225793,21487,1466602,75653,545,7868,248554,124629,107274,161080,185,8234,11116,1916,171774,13858,24892,5574,96036,140,17915,54098,569,158,3856,53907,..,2012608,1412,2036,12446,39062,2761,593667,41037,22850,659,248,2667,333139,732,183857,93320,1306,58532,3009,138,74829,297,185921,6,46084,879,8554,125529,837291,714605,725545,615648,427,696822,303770,61,353216,4283957,3188,256,5364,5515,222,9003,30900,839,3103,12625,35913,331450,15155,8329,48405,6800,67096,50519,585,31880,116030,1,494198,111292,16724,5585,82862,281,114379,161431,49878,242004,188081,133317,5078,7870,768,15229,102247,155209,1180941,126580,114,621,34725,2428585,2385,1749490,29722,450822,31,30072,557513,556,66170,526613,141,68,4157,13026,21239
1990,Less developed regions,32964805,3013479,1024,28134,470,21,325874,718,3970,105006,129771,3235,27048,17749,325806,920,5922,2221061,2608,106682,13726,2130,100731,73,14339,87429,3370,5491,105600,1680,7436,255128,444340,161335,5583,58179,30257,29508,754,53,17675,167329,67,142821,1296199,17056,39710,343564,8370,17038,28,11910,158102,1774,30107,1546,5482,4822,12599,174350,3731,784,10696,46309,24208,389087,383059,14061,68327,2108,775388,2,12,2239,2232,157262,1563,1367,3161,11393,63533,425025,131617,36,78801,326,10613,3157,661,51127,145018,21415,14009,84245,13,23717,14798,46,2265542,526964,52845,592403,4423,..,61759,270345,8119,81657,105006,78807,47930,1571,28453,21405,120580,7936,54620,45718,247957,24970,66,16693,236,8356,43962,189957,354,269125,144,151,5274,55381,3801,849,24206,2367,158,79,124,1061,91901,976053,286342,6047,538,356092,32334,1491,8083,128934,46646,133181,19,1183,3818,5787,1185433,1583,22065,627,157753,38186,357439,101491,186102,10321,5749,112510,31377,1455,82845,2858645,269100,242,5816,6438,23,10140,7359,7,4113,36704,103133,1977,188,21242,33370,237,255,1066,493,366948,51596,248148,264180,315553,908031,244773,9304,9312,4732,17890,216037,30532,25484,53424,262,90339,80,1240,7672,24865,41458,5963,1191,526,118957,484040,32461,169195,66817,417254,1156,90810,185660,1858,36676,73571,2679,75516,161006,29134,64987
1990,Least developed countries,5516710,..,..,3113,..,..,305380,..,..,230,..,..,656,35,..,..,40,761,..,..,471,..,20173,..,8740,..,..,374,788,..,..,..,19149,160291,5419,6646,15467,901,..,..,12633,103945,..,119,116112,23,..,407,3772,12382,..,168,154251,..,606,..,2,..,19,129634,86,429,..,1061,..,14478,..,203,64537,..,718459,..,..,345,..,18492,..,..,2458,6388,..,2216,34991,..,20,..,..,..,..,..,82747,20697,..,..,..,..,..,..,304393,34900,..,2244,1,..,..,706,..,4406,..,..,41691,571,20,..,27066,..,2939,1962,238230,1774,..,..,..,5803,11026,42652,..,65722,..,..,..,51968,43,..,175,..,..,..,..,..,1933,643778,119906,1397,522,4572,255,164,216,..,17150,57265,..,..,1950,..,6970,..,..,568,..,143,342,..,5033,843,..,185,..,450,..,699,265642,..,..,..,..,..,3,..,1560,1094,91323,..,85,19860,4905,..,..,7,44,356636,21095,241547,711,47,1215,121569,..,44,542,286,1080,17658,..,15377,..,20453,..,10,..,129,5,..,..,174,73783,45,38,7222,34925,17787,..,174,883,6,1185,34583,..,..,182,15187,25521
1990,"Less developed regions, excluding least developed countries",27448095,3013479,1024,25021,470,21,20494,718,3970,104776,129771,3235,26392,17714,325806,920,5882,2220300,2608,106682,13255,2130,80558,73,5599,87429,3370,5117,104812,1680,7436,255128,425191,1044,164,51533,14790,28607,754,53,5042,63384,67,142702,1180087,17033,39710,343157,4598,4656,28,11742,3851,1774,29501,1546,5480,4822,12580,44716,3645,355,10696,45248,24208,374609,383059,13858,3790,2108,56929,2,12,1894,2232,138770,1563,1367,703,5005,63533,422809,96626,36,78781,326,10613,3157,661,51127,62271,718,14009,84245,13,23717,14798,46,1961149,492064,52845,590159,4422,..,61759,269639,8119,77251,105006,78807,6239,1000,28433,21405,93514,7936,51681,43756,9727,23196,66,16693,236,2553,32936,147305,354,203403,144,151,5274,3413,3758,849,24031,2367,158,79,124,1061,89968,332275,166436,4650,16,351520,32079,1327,7867,128934,29496,75916,19,1183,1868,5787,1178463,1583,22065,59,157753,38043,357097,101491,181069,9478,5749,112325,31377,1005,82845,2857946,3458,242,5816,6438,23,10140,7356,7,2553,35610,11810,1977,103,1382,28465,237,255,1059,449,10312,30501,6601,263469,315506,906816,123204,9304,9268,4190,17604,214957,12874,25484,38047,262,69886,80,1230,7672,24736,41453,5963,1191,352,45174,483995,32423,161973,31892,399467,1156,90636,184777,1852,35491,38988,2679,75516,160824,13947,39466
1990,High-income countries,36450724,97474,42266,375784,34,2005,86410,658,10857,160453,37179,2870,141111,253472,16277,14108,1229,231790,43733,212647,196305,18977,5951,36958,164,25481,242658,1222,176790,1703,3283,50751,2409,1761,43270,122147,24909,609895,1597,146,4357,9374,9907,102481,1622567,275790,41766,211427,9641,25812,9085,29040,24703,179640,415454,19270,77838,134381,2401,28043,105972,1622,17505,244054,85260,388816,250709,3957,15334,17934,99664,4532,110,44311,145730,499255,36,1515,4385,4042,40739,1291107,53029,6290,396173,5413,22866,106,637,119692,5883,6340,115227,154508,18,66678,171502,8944,1164589,539314,237699,117223,500089,5637,76122,1373772,318290,233762,81720,29928,75492,545,14414,3821,124854,46213,186131,190,8236,20814,1918,112201,13811,24856,5570,226153,73,17821,53806,666,164,3859,53901,..,2015051,3738,1940,1641,26488,3742,674573,40985,52631,606,248,49138,339094,1649,184942,93760,1291,59219,3011,1140,74293,284,452046,1427,47230,880,9064,129669,1116578,748798,727966,618322,506,700946,31132,61,419032,934017,3099,256,9552,9967,222,18630,30899,824,3109,18436,35868,312018,15156,8329,52416,6863,64095,28608,585,33538,121117,1860,520452,263745,26116,97217,83216,281,114983,162837,194130,4753,176196,149257,5078,7872,768,15229,105320,177014,1189294,21236,1305,605,34681,553801,21617,1786609,29620,628061,821,32754,33135,2068,69885,508076,2814,12,154903,12865,21147
1990,Middle-income countries,34222945,2965660,28168,15403,958,18,82749,240,812,65957,425620,570,21614,17720,850600,419,5471,2056475,934,739572,11280,2047,80979,42,5599,83749,192546,4298,93563,51,7435,264059,425458,1123,3831,58047,15315,19564,563,35,13807,153932,65,140605,386081,3211,5400,338228,237,5191,26,11251,4012,32108,20006,221,5794,12741,17409,71333,4265,354,337,13994,22918,110092,382666,14055,32603,41665,507299,..,9,2173,3080,58290,486,..,748,5006,433153,480926,97065,33,102527,323,777,57,45,50811,64261,1340,6164,66581,..,22981,23612,58,1424715,144776,30781,534518,4172,..,65007,262776,2036,73427,44773,1515481,9530,1571,21907,266138,119925,68997,26510,43751,9725,14727,64,76266,283,464,10123,59778,421,208103,436,54,162,3338,3297,..,21580,41,254,10884,12698,40,9226,141835,256561,5954,538,309621,22677,164,5821,128494,29595,86556,15,181,4353,5800,913685,162,20919,621,157243,33716,77340,67298,180069,6791,5670,105393,304015,525,17029,6207891,3571,229,125,505,23,477,7295,22,4050,29939,55069,21409,102,1382,29359,82,3256,22970,493,71481,26206,4742,237247,162970,898639,39878,757,9295,3591,16154,71682,250125,37369,37332,262,69961,80,1221,4559,3060,33100,111307,..,522,82567,2358779,13229,121039,35104,235014,217,87954,709155,273,31525,91821,6,75572,10228,6499,57528
1990,Upper-middle-income countries,16462057,1349729,27913,2513,950,17,14258,240,786,54128,394168,567,10094,17084,508940,396,825,5585,899,452947,10247,975,8349,42,1,83586,192365,3880,87446,51,1620,262925,1206,1071,61,38019,9187,13386,556,3,107,941,65,137610,108247,3107,5400,336866,187,4242,26,6512,1096,32076,19043,167,5734,12230,16024,7809,3891,262,336,13831,22392,34795,184408,13647,869,34252,2901,..,9,422,2771,34033,477,..,193,74,380009,445125,3299,30,98311,139,777,57,2,44140,690,206,6163,66550,..,5060,23097,56,35110,103199,20015,517572,3981,..,6387,257847,2007,61233,10240,1260250,2050,1050,3501,228889,90165,55234,20458,43634,214,1622,63,55985,279,463,3466,6209,95,6420,436,..,162,147,2047,..,11302,41,219,10859,12698,40,4118,100283,93331,4395,16,10311,21441,..,4271,55707,38,7334,15,137,2282,635,10139,..,20102,53,156597,30047,72008,57609,176609,6612,425,99213,192900,525,13109,1945661,1639,229,125,505,23,477,7289,22,1223,9491,2513,21379,96,332,17332,67,3205,22970,314,4312,9245,2221,233246,12855,302663,23896,744,9268,3162,14800,37715,222316,37153,20583,..,3585,80,1189,4557,1252,29140,89577,..,348,2819,2036230,2368,96536,1265,182262,187,87642,603941,181,30948,38115,6,75572,6982,5787,39550
1990,Lower-middle-income countries,17760888,1615931,255,12890,8,1,68491,..,26,11829,31452,3,11520,636,341660,23,4646,2050890,35,286625,1033,1072,72630,..,5598,163,181,418,6117,..,5815,1134,424252,52,3770,20028,6128,6178,7,32,13700,152991,..,2995,277834,104,..,1362,50,949,..,4739,2916,32,963,54,60,511,1385,63524,374,92,1,163,526,75297,198258,408,31734,7413,504398,..,..,1751,309,24257,9,..,555,4932,53144,35801,93766,3,4216,184,..,..,43,6671,63571,1134,1,31,..,17921,515,2,1389605,41577,10766,16946,191,..,58620,4929,29,12194,34533,255231,7480,521,18406,37249,29760,13763,6052,117,9511,13105,1,20281,4,1,6657,53569,326,201683,..,54,..,3191,1250,..,10278,..,35,25,..,..,5108,41552,163230,1559,522,299310,1236,164,1550,72787,29557,79222,..,44,2071,5165,903546,162,817,568,646,3669,5332,9689,3460,179,5245,6180,111115,..,3920,4262230,1932,..,..,..,..,..,6,..,2827,20448,52556,30,6,1050,12027,15,51,..,179,67169,16961,2521,4001,150115,595976,15982,13,27,429,1354,33967,27809,216,16749,262,66376,..,32,2,1808,3960,21730,..,174,79748,322549,10861,24503,33839,52752,30,312,105214,92,577,53706,..,..,3246,712,17978
1990,Low-income countries,4269524,..,..,2471,..,..,243387,..,..,199,..,..,43,35,..,..,..,551,..,..,440,..,19913,..,8740,..,..,1290,608,..,..,..,19149,160291,1775,..,15304,809,..,..,3930,5454,..,119,22379,46,..,407,3772,12098,..,168,154144,..,562,..,2,..,11,102923,80,429,..,1061,..,21,..,20,33056,..,225837,..,..,..,..,18322,..,..,2414,6388,..,2066,34672,..,20,..,..,..,..,..,80782,19931,..,..,..,..,..,..,272409,673,..,..,1,..,..,673,..,223,..,..,38561,..,..,..,..,..,2874,1962,238230,545,..,..,..,5803,33843,62,..,61042,..,..,..,51968,43,..,175,..,..,..,..,..,1769,834270,..,146,..,..,247,..,..,..,17066,45938,..,..,..,..,5623,..,..,..,..,186,812,..,2884,843,..,2993,..,450,..,694,265618,..,..,..,..,..,..,..,57,954,47692,..,85,19860,..,..,..,7,..,293809,20271,241547,672,130,..,113263,..,17,537,284,7,17658,..,152,..,20376,..,..,..,..,5,..,..,..,36434,45,..,10288,31815,4449,..,174,883,..,1185,287,..,..,32,22796,7551
